sujeto_obligado,solicitudes,vencidas,fecha_corte,criterio
Ministerio de Desregulación y Transformación del Estado,255,153,2026-06-02,sujeto_obligado_en_SIP
Secretaría de Comunicación y Medios,97,41,2026-06-02,sujeto_obligado_en_SIP
Secretaría de Prensa,108,36,2026-06-02,sujeto_obligado_en_SIP
Ministerio de Seguridad Nacional,1003,113,2026-06-02,sujeto_obligado_en_SIP
Secretaría General,1493,99,2026-06-02,sujeto_obligado_en_SIP
Ministerio de Defensa,2485,156,2026-06-02,sujeto_obligado_en_SIP
Ministerio de Salud,7973,501,2026-06-02,sujeto_obligado_en_SIP
Total del archivo,62311,2319,2026-06-02,total_SIP
